date,Gross_Profit,Revenue,Net_Income,EPS
1999-12-31,,,,5.86
2000-12-31,,,,6
2001-12-31,,,,3.84
2002-12-31,,,,4.33
2003-12-31,,,,7.07
2004-12-31,,,,9.35
2005-12-31,,,,13.39
2006-12-31,,,,21.3
2007-12-31,,,,21.3
2009-12-31,-25344000000,42875000000,13385000000,23.19
2010-12-31,-29642000000,36880000000,8354000000,13.14
2011-12-31,-28700000000,36793000000,4442000000,4.41
2012-12-31,-28879000000,41664000000,7475000000,14.15
2013-12-31,11737000000,40874000000,8040000000,15.47
2014-12-31,13718000000,40085000000,8477000000,17.07
2015-12-31,10400000000,39208000000,6083000000,18.27
2016-12-31,11841000000,37894000000,7398000000,16.36
2017-12-31,14331000000,42911000000,4286000000,19.8
2018-12-31,18373000000,52528000000,10459000000,25.25
2019-12-31,15869000000,53922000000,8466000000,21
2020-12-31,14371000000,53498000000,9459000000,31.13
2021-12-31,31806000000,64989000000,21635000000,59.36
2022-12-31,19783000000,68711000000,11261000000,30.06
2023-12-31,27440000000,108418000000,8516000000,23.9
2024-06-30,,,,20.2
