date,Gross_Profit,Revenue,Net_Income,EPS
1996-12-31,,,,1.09
1997-12-31,,,,1.24
1998-12-31,,,,1.35
1999-12-31,,,,1.51
2000-12-31,,,,1.72
2001-12-31,,,,1.9
2002-12-31,,,,2.22
2003-12-31,,,,2.65
2004-12-31,,,,3.1
2005-12-31,,,,3.5
2006-12-31,,,,3.76
2007-12-31,,,,4.15
2008-12-31,,,,4.55
2009-12-31,,,,4.63
2010-12-31,43450000000,61236000000,12266000000,4.76
2011-12-31,42795000000,61002000000,13334000000,5
2012-12-31,45566000000,66634000000,10853000000,5.11
2012-12-31,44670000000,64449000000,9672000000,5.11
2013-12-31,48970000000,71061000000,13831000000,5.52
2014-12-31,51585000000,73642000000,16323000000,5.97
2015-12-31,48538000000,69418000000,15409000000,6.2
2016-12-31,50101000000,70875000000,16540000000,6.68
2017-12-31,51011000000,75300000000,1300000000,7.3
2018-12-31,54490000000,80311000000,15297000000,8.18
2019-12-31,54503000000,81474000000,15119000000,8.68
2020-12-31,54157000000,82174000000,14714000000,8.03
2021-12-31,63920000000,93356000000,20878000000,9.8
2022-12-31,55394000000,79428000000,17941000000,10.16
2023-12-31,58606000000,84021000000,35153000000,10.43
2024-06-30,,,,5.53
