date,Gross_Profit,Revenue,Net_Income,EPS
1996-12-31,,,,2.5
1997-12-31,,,,2.75
1998-12-31,,,,3.03
1999-12-31,,,,4.17
2000-12-31,,,,3.06
2001-12-31,,,,1.97
2002-12-31,,,,1.24
2003-12-31,,,,3.25
2004-12-31,,,,3.01
2005-12-31,,,,2.95
2006-12-31,,,,3.86
2007-12-31,,,,4.37
2008-12-31,,,,1.4
2009-12-31,48082000000,100434000000,11728000000,2.24
2010-12-31,24676000000,102694000000,17370000000,3.6
2011-12-31,26711000000,97234000000,18976000000,4.47
2012-12-31,32302000000,97031000000,21284000000,5.27
2013-12-31,26139000000,97367000000,17886000000,6.01
2014-12-31,29792000000,95112000000,21745000000,5.29
2015-12-31,30702000000,93543000000,24442000000,5.99
2016-12-31,34536000000,96569000000,24733000000,6.06
2017-12-31,35900000000,100705000000,24441000000,6.88
2018-12-31,40764000000,108783000000,32474000000,8.87
2019-12-31,44545000000,115720000000,36431000000,10.41
2020-12-31,35407000000,119951000000,29131000000,8.87
2021-12-31,59562000000,121649000000,48334000000,15.44
2022-12-31,46166000000,128695000000,37676000000,12.44
2023-12-31,61612000000,158104000000,49552000000,16.22
2024-06-30,,,,8.7
