date,Gross_Profit,Revenue,Net_Income,EPS
1996-03-31,,,,0.14
1996-06-30,,,,0.21
1996-09-30,,,,0.2
1996-12-31,,,,0.16
1997-03-31,,,,0.2
1997-06-30,,,,0.24
1997-09-30,,,,0.21
1997-12-31,,,,0.17
1998-03-31,,,,0.17
1998-06-30,,,,0.24
1998-09-30,,,,0.18
1998-12-31,,,,0.12
1999-03-31,,,,0.15
1999-06-30,,,,0.19
1999-09-30,,,,0.16
1999-12-31,,,,0.16
2000-03-31,,,,0.11
2000-06-30,,,,0.22
2000-09-30,,,,0.21
2000-12-31,,,,0.19
2001-03-31,,,,0.18
2001-06-30,,,,0.23
2001-09-30,,,,0.23
2001-12-31,,,,0.19
2002-03-31,,,,0.19
2002-06-30,,,,0.26
2002-09-30,,,,0.24
2002-12-31,,,,0.2
2003-03-31,,,,0.19
2003-06-30,,,,0.28
2003-09-30,,,,0.28
2003-12-31,,,,0.23
2004-03-31,,,,0.23
2004-06-30,,,,0.32
2004-09-30,,,,0.25
2004-12-31,,,,0.23
2005-03-31,,,,0.24
2005-06-30,,,,0.34
2005-09-30,,,,0.28
2005-12-31,,,,0.23
2006-03-31,,,,0.25
2006-06-30,,,,0.37
2006-09-30,,,,0.31
2006-12-31,,,,0.26
2007-03-31,,,,0.28
2007-06-30,,,,0.43
2007-09-30,,,,0.36
2007-12-31,,,,0.29
2008-03-31,,,,0.34
2008-06-30,5884000000,9046000000,1422000000,0.51
2008-09-30,5373000000,8393000000,1890000000,0.42
2008-12-31,4558000000,7126000000,995000000,0.32
2009-03-31,4579000000,7169000000,1348000000,0.33
2009-06-30,5354000000,8170000000,2037000000,0.46
2009-09-30,5110000000,7955000000,1896000000,0.41
2009-12-31,4859000000,7426000000,1543000000,0.33
2010-03-31,4984000000,7440000000,1614000000,0.4
2010-06-30,5719000000,8593000000,2369000000,0.53
2010-09-30,5508000000,8346000000,2055000000,0.46
2010-12-31,6215000000,9959000000,5749000000,0.36
2011-03-31,6569000000,10514000000,1903000000,0.43
2011-06-30,7748000000,12653000000,2800000000,0.59
2011-09-30,7373000000,12132000000,2224000000,0.52
2011-12-31,6637000000,11057000000,1657000000,0.4
2012-03-31,6789000000,11064000000,2054000000,0.45
2012-06-30,7861000000,12984000000,2788000000,0.61
2012-09-30,7487000000,12260000000,2311000000,0.51
2012-12-31,6827000000,11265000000,1866000000,0.45
2013-03-31,6711000000,10939000000,1751000000,0.46
2013-06-30,7760000000,12746000000,2676000000,0.63
2013-09-30,7237000000,11940000000,2447000000,0.53
2013-12-31,6725000000,10886000000,1710000000,0.46
2014-03-31,6493000000,10172000000,1619000000,0.44
2014-06-30,7755000000,12467000000,2595000000,0.64
2014-09-30,7346000000,11863000000,2114000000,0.53
2014-12-31,6515000000,10202000000,770000000,0.44
2015-03-31,6608000000,10064000000,1557000000,0.48
2015-06-30,7408000000,12230000000,3108000000,0.63
2015-09-30,6850000000,11289000000,1449000000,0.51
2015-12-31,5946000000,9947000000,1237000000,0.38
2016-03-31,6213000000,10048000000,1483000000,0.45
2016-06-30,7068000000,11377000000,3448000000,0.6
2016-09-30,6502000000,10451000000,1046000000,0.49
2016-12-31,5615000000,10087000000,550000000,0.37
2017-03-31,5605000000,8854000000,1182000000,0.43
2017-06-30,6043000000,9903000000,1371000000,0.59
2017-09-30,5684000000,9078000000,1447000000,0.5
2017-12-31,5159000000,8314000000,-2752000000,0.39
2018-03-31,4888000000,7626000000,1368000000,0.47
2018-06-30,5878000000,9421000000,2316000000,0.61
2018-09-30,5429000000,8775000000,1880000000,0.58
2018-12-31,4704000000,7806000000,870000000,0.43
2019-03-31,5329000000,8694000000,1678000000,0.48
2019-06-30,6076000000,9997000000,2607000000,0.63
2019-09-30,5740000000,9507000000,2593000000,0.56
2019-12-31,5502000000,9068000000,2042000000,0.44
2020-03-31,5230000000,8601000000,2775000000,0.51
2020-06-30,4137000000,7150000000,1779000000,0.42
2020-09-30,5181000000,8652000000,1737000000,0.55
2020-12-31,5033000000,8611000000,1456000000,0.47
2021-03-31,5515000000,9020000000,2245000000,0.55
2021-06-30,6342000000,10129000000,2641000000,0.68
2021-09-30,6065000000,10042000000,2471000000,0.65
2021-12-31,5376000000,9464000000,2414000000,0.45
2022-03-31,6400000000,10491000000,2781000000,0.64
2022-06-30,6495000000,11325000000,1905000000,0.7
2022-09-30,6497000000,11063000000,2825000000,0.69
2022-12-31,5612000000,10125000000,2031000000,0.45
2023-03-31,6663000000,10980000000,3107000000,0.68
2023-06-30,7060000000,11972000000,2547000000,0.78
2023-09-30,7296000000,11953000000,3087000000,0.74
2023-12-31,6215000000,10849000000,1973000000,0.49
2024-03-31,7065000000,11300000000,3177000000,0.72
2024-06-30,7551000000,12363000000,2411000000,0.84
