date,Gross_Profit,Revenue,Net_Income,EPS
1996-03-31,,,,0.06
1996-06-30,,,,0.05
1996-09-30,,,,0.06
1996-12-31,,,,0.07
1997-03-31,,,,0.1
1997-06-30,,,,0.1
1997-09-30,,,,0.09
1997-12-31,,,,0.11
1998-03-31,,,,0.13
1998-06-30,,,,0.13
1998-09-30,,,,0.14
1998-12-31,,,,0.18
1999-03-31,,,,0.19
1999-06-30,,,,0.2
1999-09-30,,,,0.19
1999-12-31,,,,0.24
2000-03-31,,,,0.22
2000-06-30,,,,0.22
2000-09-30,,,,0.23
2000-12-31,,,,0.24
2001-03-31,,,,0.22
2001-06-30,,,,0.22
2001-09-30,,,,0.22
2001-12-31,,,,0.25
2002-03-31,,,,0.25
2002-06-30,,,,0.21
2002-09-30,,,,0.28
2002-12-31,,,,0.27
2003-03-31,,,,0.27
2003-06-30,,,,0.23
2003-09-30,,,,0.3
2003-12-31,,,,0.34
2004-03-31,,,,0.34
2004-06-30,,,,0.28
2004-09-30,,,,0.31
2004-12-31,,,,0.35
2005-03-31,,,,0.32
2005-06-30,,,,0.32
2005-09-30,,,,0.31
2005-12-31,,,,0.33
2006-03-31,,,,0.32
2006-06-30,,,,0.31
2006-09-30,,,,0.35
2006-12-31,,,,0.26
2007-03-31,,,,0.49
2007-06-30,,,,0.39
2007-09-30,11087000000,13762000000,4289000000,0.45
2007-12-31,12824000000,16367000000,4707000000,0.5
2008-03-31,11940000000,14454000000,4388000000,0.47
2008-06-30,12971000000,15837000000,4297000000,0.46
2008-09-30,12213000000,15061000000,4373000000,0.48
2008-12-31,12722000000,16629000000,4174000000,0.47
2009-03-31,10834000000,13648000000,2977000000,0.39
2009-06-30,10513000000,13099000000,3045000000,0.36
2009-09-30,10078000000,12920000000,3574000000,0.4
2009-12-31,15394000000,19022000000,6662000000,0.74
2010-03-31,11748000000,14503000000,4006000000,0.45
2010-06-30,12869000000,16039000000,4518000000,0.51
2010-09-30,13056000000,16195000000,5410000000,0.62
2010-12-31,15120000000,19953000000,6634000000,0.77
2011-03-31,12531000000,16428000000,5232000000,0.61
2011-06-30,13659000000,17367000000,5874000000,0.69
2011-09-30,13595000000,17372000000,5738000000,0.68
2011-12-31,15247000000,20885000000,6624000000,0.78
2012-03-31,13455000000,17407000000,5108000000,0.6
2012-06-30,13896000000,18059000000,-492000000,0.67
2012-09-30,11840000000,16008000000,4466000000,0.53
2012-12-31,15764000000,21456000000,6377000000,0.76
2013-03-31,15702000000,20489000000,6055000000,0.72
2013-06-30,14294000000,20032000000,4965000000,0.66
2013-09-30,13384000000,18529000000,5244000000,0.62
2013-12-31,16197000000,24519000000,6558000000,0.78
2014-03-31,14425000000,20403000000,5660000000,0.68
2014-06-30,15749000000,23382000000,4612000000,0.55
2014-09-30,14928000000,23201000000,4540000000,0.54
2014-12-31,16334000000,26470000000,5863000000,0.75
2015-03-31,14568000000,21729000000,4985000000,0.61
2015-06-30,14712000000,22180000000,-3195000000,0.6
2015-09-30,13172000000,20379000000,4902000000,0.67
2015-12-31,13924000000,23796000000,5018000000,0.78
2016-03-31,12809000000,20531000000,3756000000,0.62
2016-06-30,12635000000,20614000000,3122000000,0.69
2016-09-30,14084000000,21928000000,5667000000,0.76
2016-12-31,15925000000,25826000000,6267000000,0.84
2017-03-31,15152000000,23212000000,5486000000,0.73
2017-06-30,17149000000,25605000000,8069000000,0.98
2017-09-30,16260000000,24538000000,6576000000,0.84
2017-12-31,17854000000,28918000000,-6302000000,0.96
2018-03-31,17550000000,26819000000,7424000000,0.95
2018-06-30,20343000000,30085000000,8873000000,1.13
2018-09-30,19179000000,28615000000,8824000000,1.14
2018-12-31,20048000000,31796000000,8420000000,1.1
2019-03-31,20401000000,29993000000,8809000000,1.14
2019-06-30,23305000000,33717000000,13187000000,1.37
2019-09-30,22649000000,32428000000,10678000000,1.38
2019-12-31,24548000000,36322000000,11649000000,1.51
2020-03-31,24046000000,34315000000,10752000000,1.4
2020-06-30,25694000000,38033000000,11202000000,1.46
2020-09-30,26152000000,36724000000,13893000000,1.82
2020-12-31,28882000000,42558000000,15463000000,2.03
2021-03-31,28661000000,41059000000,15457000000,1.95
2021-06-30,32161000000,45595000000,16458000000,2.17
2021-09-30,31671000000,44743000000,20505000000,2.27
2021-12-31,34768000000,51228000000,18765000000,2.48
2022-03-31,33745000000,48732000000,16728000000,2.22
2022-06-30,35436000000,51406000000,16740000000,2.23
2022-09-30,34670000000,49636000000,17556000000,2.35
2022-12-31,35259000000,52032000000,16425000000,2.32
2023-03-31,36729000000,52405000000,18299000000,2.45
2023-06-30,39394000000,55659000000,20081000000,2.69
2023-09-30,40215000000,56029000000,22291000000,2.99
2023-12-31,42397000000,60849000000,21870000000,2.93
2024-03-31,43353000000,60911000000,21939000000,2.94
2024-06-30,,,,2.95
