date,Gross_Profit,Revenue,Net_Income,EPS
1996-12-31,,,,1.67
1997-12-31,,,,1.79
1998-12-31,,,,1.93
1999-12-31,,,,0.49
2000-12-31,,,,0.55
2001-12-31,,,,0.6
2002-12-31,,,,0.59
2003-12-31,,,,0.61
2004-12-31,,,,0.62
2005-12-31,,,,0.65
2006-12-31,,,,0.76
2007-12-31,,,,0.89
2008-12-31,,,,0.96
2009-12-31,13878000000,15643000000,1615000000,1.03
2010-12-31,13316000000,15317000000,1957000000,1.08
2011-12-31,12347000000,15341000000,1923000000,1.1
2012-12-31,11401000000,14256000000,1911000000,1.16
2013-12-31,-3609000000,300000000,1908000000,1.25
2014-12-31,-3652000000,461000000,2465000000,1.33
2015-12-31,-3459000000,1038000000,2752000000,1.43
2016-12-31,-4251000000,578000000,2906000000,1.55
2017-12-31,-4373000000,178000000,5380000000,1.68
2018-12-31,9856000000,15558000000,6638000000,1.94
2019-12-31,11221000000,17604000000,3769000000,2.1
2020-12-31,10844000000,16976000000,2919000000,2.32
2021-12-31,12965000000,19042000000,3573000000,2.54
2022-12-31,16341000000,23278000000,4147000000,2.91
2023-12-31,16271000000,24708000000,7310000000,3.18
2024-06-30,,,,1.87
