date,Gross_Profit,Revenue,Net_Income,EPS
1996-12-31,,,,0.5
1997-12-31,,,,0.57
1998-12-31,,,,0.7
1999-12-31,,,,0.88
2000-12-31,,,,1.05
2001-12-31,,,,1.31
2002-12-31,,,,1.59
2003-12-31,,,,1.75
2004-12-31,,,,2.12
2005-12-31,,,,2.02
2006-12-31,,,,2.08
2007-12-31,,,,2.2
2008-12-31,,,,2.43
2009-12-31,23369000000,50009000000,8635000000,2.02
2010-12-31,21035000000,66010000000,8257000000,2.23
2011-12-31,23631000000,65824000000,10009000000,2.32
2012-12-31,22350000000,57553000000,14570000000,2.2
2013-12-31,20944000000,50893000000,22003000000,2.24
2014-12-31,20754000000,49247000000,9135000000,2.26
2015-12-31,17663000000,47768000000,6960000000,2.2
2016-12-31,22021000000,52231000000,7215000000,2.39
2017-12-31,23926000000,50828000000,21308000000,2.65
2018-12-31,22784000000,52356000000,11153000000,3
2019-12-31,21948000000,50108000000,16026000000,2.95
2020-12-31,18171000000,41651000000,9159000000,2.72
2021-12-31,34573000000,81288000000,21979000000,4.42
2022-12-31,47907000000,100330000000,31372000000,6.63
2023-12-31,8904000000,58496000000,2119000000,1.83
2024-06-30,,,,1.42
