date,Gross_Profit,Revenue,Net_Income,EPS
1996-12-31,,,,1.4
1997-12-31,,,,1.71
1998-12-31,,,,1.31
1999-12-31,,,,1.19
2000-12-31,,,,2.41
2001-12-31,,,,1.91
2002-12-31,,,,1.7
2003-12-31,,,,2.56
2004-12-31,,,,3.97
2005-12-31,,,,5.35
2006-12-31,,,,6.55
2007-12-31,,,,7.28
2008-12-31,,,,8.44
2009-12-31,-39276000000,301500000000,19280000000,4.01
2010-12-31,-13086000000,370125000000,30460000000,6.22
2011-12-31,417962000000,467029000000,41060000000,8.42
2012-12-31,406128000000,451509000000,44880000000,8.09
2013-12-31,376585000000,420836000000,32580000000,7.37
2014-12-31,351294000000,394105000000,32520000000,7.36
2015-12-31,224534000000,239854000000,16150000000,3.85
2016-12-31,182679000000,200628000000,7840000000,2.37
2017-12-31,225426000000,244363000000,19710000000,3.58
2018-12-31,266471000000,290212000000,20840000000,4.88
2019-12-31,251556000000,264938000000,14340000000,2.44
2020-12-31,168484000000,181502000000,-22440000000,-0.32
2021-12-31,273474000000,285640000000,23040000000,5.38
2022-12-31,402359000000,413680000000,55740000000,14.06
2023-12-31,329915000000,344582000000,36010000000,9.52
2024-06-30,,,,4.2
