Date,Sentiment_Score
2022-03-01,-0.2775
2022-03-02,-0.3611
2022-03-03,-0.1162
2022-03-04,0.041
2022-03-05,-0.1401
2022-03-06,0.0751
2022-03-07,-0.0001
2022-03-08,0.0454
2022-03-09,-0.0033
2022-03-10,-0.0797
2022-03-11,0.0097
2022-03-12,-0.0162
2022-03-13,0.0102
2022-03-14,-0.1203
2022-03-15,-0.0355
2022-03-16,0.016
2022-03-17,-0.0169
2022-03-18,0.0351
2022-03-19,0.031
2022-03-20,-0.0253
2022-03-21,-0.0708
2022-03-22,0.01
2022-03-23,-0.0054
2022-03-24,-0.0023
2022-03-25,-0.0226
2022-03-26,0.0022
2022-03-27,-0.0126
2022-03-28,-0.0146
2022-03-29,-0.0112
2022-03-30,0.0208
2022-03-31,-0.0182
2022-04-01,-0.0257
2022-04-02,-0.0261
2022-04-03,0.0429
2022-04-04,0.0199
2022-04-05,-0.0054
2022-04-06,-0.0186
2022-04-07,-0.0199
2022-04-08,-0.0228
2022-04-09,-0.0449
2022-04-10,-0.0629
2022-04-11,-0.065
2022-04-12,-0.0751
2022-04-13,0.0083
2022-04-14,-0.0477
2022-04-15,-0.1093
2022-04-16,-0.3053
2022-04-17,0.027
2022-04-18,-0.0442
2022-04-19,-0.0477
2022-04-20,-0.0493
2022-04-21,-0.053
2022-04-22,-0.038
2022-04-23,0.0072
2022-04-24,-0.0098
2022-04-25,-0.0829
2022-04-26,-0.0532
2022-04-27,-0.1082
2022-04-28,-0.0623
2022-04-29,-0.0945
2022-04-30,-0.0813
2022-05-01,-0.0546
2022-05-02,-0.1195
2022-05-03,-0.0651
2022-05-04,-0.0112
2022-05-05,-0.1251
2022-05-06,-0.0928
2022-05-07,-0.0395
2022-05-08,-0.0348
2022-05-09,-0.1161
2022-05-10,-0.0851
2022-05-11,-0.051
2022-05-12,-0.097
2022-05-13,-0.0277
2022-05-14,-0.0676
2022-05-15,-0.059
2022-05-16,-0.0624
2022-05-17,-0.045
2022-05-18,-0.0968
2022-05-19,-0.1344
2022-05-20,-0.0913
2022-05-21,-0.0504
2022-05-22,-0.0394
2022-05-23,-0.0247
2022-05-24,-0.1126
2022-05-25,-0.0603
2022-05-26,-0.0653
2022-05-27,-0.0529
2022-05-28,-0.0035
2022-05-29,0.0415
2022-05-30,0.0214
2022-05-31,-0.0182
2022-06-01,-0.029
2022-06-02,-0.0603
2022-06-03,-0.0374
2022-06-04,-0.1359
2022-06-05,0.0138
2022-06-06,-0.0328
2022-06-07,-0.0352
2022-06-08,-0.0437
2022-06-09,-0.0716
2022-06-10,-0.0838
2022-06-11,0.0031
2022-06-12,-0.0132
2022-06-13,-0.1185
2022-06-14,-0.0451
2022-06-15,-0.0517
2022-06-16,-0.1225
2022-06-17,0.0188
2022-06-18,0.1389
2022-06-19,0.0822
2022-06-20,0.0297
2022-06-21,-0.0636
2022-06-22,0.0643
2022-06-23,-0.0592
2022-06-24,-0.0463
2022-06-25,-0.051
2022-06-26,0.0392
2022-06-27,-0.0243
2022-06-28,-0.1188
2022-06-29,0.003
2022-06-30,-0.0698
2022-07-01,-0.0951
2022-07-02,-0.0838
2022-07-03,-0.1012
2022-07-04,0.0903
2022-07-05,-0.0673
2022-07-06,-0.0432
2022-07-07,-0.0608
2022-07-08,-0.0375
2022-07-09,0.0311
2022-07-10,0.1745
2022-07-11,0.1218
2022-07-12,0.1136
2022-07-13,0.1789
2022-07-14,0.1139
2022-07-15,0.1223
2022-07-16,0.0971
2022-07-17,0.1297
2022-07-18,0.1799
2022-07-19,0.0962
2022-07-20,0.1244
2022-07-21,0.0943
2022-07-22,0.09
2022-07-23,0.0456
2022-07-24,0.0821
2022-07-25,0.0935
2022-07-26,0.0763
2022-07-27,0.1391
2022-07-28,0.1008
2022-07-29,0.0964
2022-07-30,0.1318
2022-07-31,0.1365
2022-08-01,0.1384
2022-08-02,0.0692
2022-08-03,0.1641
2022-08-04,0.1544
2022-08-05,0.1159
2022-08-06,0.15
2022-08-07,0.1695
2022-08-08,0.0853
2022-08-09,0.131
2022-08-10,0.1308
2022-08-11,0.1545
2022-08-12,0.1406
2022-08-13,0.1784
2022-08-14,0.1459
2022-08-15,0.1144
2022-08-16,0.1502
2022-08-17,0.1475
2022-08-18,0.1171
2022-08-19,0.0836
2022-08-20,0.139
2022-08-21,0.138
2022-08-22,0.1118
2022-08-23,0.1171
2022-08-24,0.1555
2022-08-25,0.1237
2022-08-26,0.1247
2022-08-27,0.1417
2022-08-28,0.0908
2022-08-29,0.1036
2022-08-30,0.0699
2022-08-31,0.0329
2022-09-01,0.095
2022-09-02,0.0884
2022-09-03,0.1277
2022-09-04,0.164
2022-09-05,0.1561
2022-09-06,0.0624
2022-09-07,0.0924
2022-09-08,0.1177
2022-09-09,0.1538
2022-09-10,0.1185
2022-09-11,0.1255
2022-09-12,0.1359
2022-09-13,0.1309
2022-09-14,0.115
2022-09-15,0.1705
2022-09-16,0.1109
2022-09-17,0.1122
2022-09-18,0.0566
2022-09-19,0.0891
2022-09-20,0.1007
2022-09-21,0.1274
2022-09-22,0.0828
2022-09-23,0.0254
2022-09-24,0.0508
2022-09-25,0.1425
2022-09-26,0.0807
2022-09-27,0.1133
2022-09-28,0.037
2022-09-29,0.0535
2022-09-30,-0.0383
2022-10-01,0.1903
2022-10-02,0.1012
2022-10-03,0.1057
2022-10-04,0.136
2022-10-05,0.1245
2022-10-06,0.1292
2022-10-07,0.0759
2022-10-08,0.1504
2022-10-09,0.1596
2022-10-10,0.0544
2022-10-11,0.0602
2022-10-12,0.1474
2022-10-13,0.0909
2022-10-14,0.134
2022-10-15,0.1383
2022-10-16,0.1306
2022-10-17,0.1085
2022-10-18,0.1399
2022-10-19,0.0475
2022-10-20,0.0852
2022-10-21,0.1013
2022-10-22,0.1066
2022-10-23,-0.0035
2022-10-24,0.1127
2022-10-25,0.1264
2022-10-26,0.1
2022-10-27,0.0602
2022-10-28,0.088
2022-10-29,0.1501
2022-10-30,0.2413
2022-10-31,0.1244
2022-11-01,0.0384
